;Tabelas de retenção na fonte para a Região Autónoma da Madeira - a partir de 1 de janeiro de 2026;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;Tabela I - Trabalho dependente;;;;;;;;;;;;;
;Não casado sem dependentes ou casado 2 titulares;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;Remuneração mensal (€);;Taxa marginal máxima;;Parcela a abater (€);;;;;;Parcela adicional a abater por dependente (€);;;Taxa efetiva mensal de retenção no limite do escalão
;Até;980,00;0,00%;;0,00;;;;;;0,00;;;0,0%
;Até;1 028,00;8,72%;;8,72%;x;2,60;x (;1 356,92;- R );21,43;;;1,5%
;Até;1 099,00;12,04%;;12,04%;x;1,35;x (;1 696,78;- R );21,43;;;3,2%
;Até;1 201,00;12,04%;;97,17;;;;;;21,43;;;3,9%
;Até;1 623,00;17,63%;;164,31;;;;;;21,43;;;7,5%
;Até;2 332,00;22,30%;;240,11;;;;;;21,43;;;12,0%
;Até;3 203,00;22,42%;;242,91;;;;;;21,43;;;14,8%
;Até;3 614,00;27,27%;;398,26;;;;;;21,43;;;16,3%
;Até;6 585,00;27,78%;;416,70;;;;;;21,43;;;21,5%
;Até;6 954,00;28,02%;;432,51;;;;;;21,43;;;21,8%
;Até;21 411,00;29,24%;;517,35;;;;;;21,43;;;26,8%
;Superior a;21 411,00;32,78%;;1 275,30;;;;;;21,43;;;n.a.
;;;;;;;;;;;;;;
;Fórmula: (Remuneração mensal x Taxa) - Parcela a abater - (Parcela adicional a abater x nº dependentes).;;;;;;;;;;;;;
;R = Remuneração mensal.;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;Tabela II - Trabalho dependente;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;Não casado com um ou mais dependentes;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;Remuneração mensal (€);;Taxa marginal máxima;;Parcela a abater (€);;;;;;Parcela adicional a abater por dependente (€);;;Taxa efetiva mensal de retenção no limite do escalão
;Até;980,00;0,00%;;0,00;;;;;;0,00;;;0,0%
;Até;1 028,00;8,72%;;8,72%;x;2,60;x ( ;1 356,92;- R );34,29;;;1,5%
;Até;1 099,00;12,04%;;12,04%;x;1,35;x ( ;1 696,78;- R );34,29;;;3,2%
;Até;1 201,00;12,04%;;97,17;;;;;;34,29;;;3,9%
;Até;1 623,00;17,63%;;164,31;;;;;;34,29;;;7,5%
;Até;2 332,00;22,30%;;240,11;;;;;;34,29;;;12,0%
;Até;3 203,00;22,42%;;242,91;;;;;;34,29;;;14,8%
;Até;3 614,00;27,27%;;398,26;;;;;;34,29;;;16,3%
