Location,Marital_Status,Num_Dependents,Disability_Above_60pct,Dependents_Have_Disability,Num_Dependents_With_Disability,Base_Salary_EUR,Social_Security_Rate_pct,Twelfths_Option,Meal_Card_Type,Year,Monthly_Net_Salary,Monthly_Gross_Salary,Annual_Gross_Salary,IRS_Retention_Rate,Annual_Employer_Cost,Monthly_Employer_Cost,IRS_Retention_Earnings_Twelfths,Extra_Compensation_Retention,Social_Security_Contribution,Net_Salary
continente,SOL,0,false,false,0,820,11, ,not_available,2026,"729,80€",820€,11.480€,0.00%,"14.206,50€","1.183,88€",,,,
continente,SOL,0,false,false,0,1000,11, ,not_available,2026,"729,80€",820€,11.480€,0.00%,"14.206,50€","1.183,88€",,"0,00€","90,20€","729,80€"
continente,SOL,0,false,false,0,1500,11, ,not_available,2026,855€,1.000€,14.000€,3.60%,17.325€,"1.443,75€",,,,
continente,SOL,0,false,false,0,2000,11, ,not_available,2026,1.167€,1.500€,21.000€,11.21%,"25.987,50€","2.165,63€",,"0,00€","165,00€","1.167,00€"
continente,SOL,0,false,false,0,3000,11, ,not_available,2026,1.479€,2.000€,28.000€,15.07%,34.650€,"2.887,50€",,"0,00€","220,00€","1.479,00€"
continente,SOL,0,false,false,0,5000,11, ,not_available,2026,855€,1.000€,14.000€,3.60%,17.325€,"1.443,75€",,"0,00€","165,00€","1.167,00€"
continente,SOL,0,false,false,0,10000,11, ,not_available,2026,2.998€,5.000€,70.000€,29.06%,86.625€,"7.218,75€",,"0,00€","330,00€","2.007,00€"
continente,SOL,0,false,false,0,820,11,1x50%,not_available,2026,5.229€,10.000€,140.000€,36.72%,173.250€,"14.437,50€",,,,
continente,SOL,0,false,false,0,1000,11,1x50%,not_available,2026,"760,21€","854,17€",11.480€,0.00%,"14.206,50€","1.183,88€",,,,
continente,SOL,0,false,false,0,1500,11,1x50%,not_available,2026,"890,08€","1.041,67€",14.000€,3.60%,17.325€,"1.443,75€",,,,
continente,SOL,0,false,false,0,2000,11,1x50%,not_available,2026,"1.215,63€","1.562,50€",21.000€,11.21%,"25.987,50€","2.165,63€",,,,
