Location,Marital_Status,Num_Dependents,Disability_Above_60pct,Dependents_Have_Disability,Num_Dependents_With_Disability,Base_Salary_EUR,Social_Security_Rate_pct,Twelfths_Option,Meal_Card_Type,Year,Monthly_Net_Salary,Monthly_Gross_Salary,Annual_Gross_Salary,IRS_Retention_Rate,Annual_Employer_Cost,Monthly_Employer_Cost,IRS_Retention_Earnings_Twelfths,Extra_Compensation_Retention,Social_Security_Contribution,Net_Salary
acores,CAS2,0,true,false,0,5000,11,1x50%,not_available,2026,"3.832,42€","5.208,33€",70.000€,15.43%,86.625€,"7.218,75€",,,,
acores,CAS2,0,true,false,0,10000,11,1x50%,not_available,2026,"3.832,42€","5.208,33€",70.000€,15.43%,86.625€,"7.218,75€",,"0,00€","572,92€","3.832,42€"
acores,CAS2,0,true,false,0,820,11,2x50%,not_available,2026,"6.851,83€","10.416,67€",140.000€,23.23%,173.250€,"14.437,50€",,"0,00€","1.145,83€","6.851,83€"
acores,CAS2,0,true,false,0,1000,11,2x50%,not_available,2026,"790,62€","888,33€",11.480€,0.00%,"14.206,50€","1.183,88€",,,,
acores,CAS2,0,true,false,0,1500,11,2x50%,not_available,2026,"964,17€","1.083,33€",14.000€,0.00%,17.325€,"1.443,75€",,"0,00€","119,17€","964,17€"
acores,CAS2,0,true,false,0,2000,11,2x50%,not_available,2026,"1.446,25€",1.625€,21.000€,0.00%,"25.987,50€","2.165,63€",,"0,00€","178,75€","1.446,25€"
acores,CAS2,0,true,false,0,3000,11,2x50%,not_available,2026,"1.928,33€","2.166,67€",28.000€,0.00%,34.650€,"2.887,50€",,,,
acores,CAS2,0,true,false,0,5000,11,2x50%,not_available,2026,"2.663,50€",3.250€,42.000€,7.07%,51.975€,"4.331,25€",,"0,00€","357,50€","2.663,50€"
acores,CAS2,0,true,false,0,10000,11,2x50%,not_available,2026,"3.985,83€","5.416,67€",70.000€,15.43%,86.625€,"7.218,75€",,"0,00€","595,83€","3.985,83€"
acores,CAS2,0,true,false,0,820,11,2x100%,not_available,2026,"7.125,67€","10.833,33€",140.000€,23.23%,173.250€,"14.437,50€",,"0,00€","1.191,67€","7.125,67€"
acores,CAS2,0,true,false,0,1000,11,2x100%,not_available,2026,"851,43€","956,67€",11.480€,0.00%,"14.206,50€","1.183,88€",,"0,00€","105,23€","851,43€"
acores,CAS2,0,true,false,0,1500,11,2x100%,not_available,2026,"1.038,33€","1.166,67€",14.000€,0.00%,17.325€,"1.443,75€",,,,
acores,CAS2,0,true,false,0,2000,11,2x100%,not_available,2026,"1.557,50€",1.750€,21.000€,0.00%,"25.987,50€","2.165,63€",,"0,00€","192,50€","1.557,50€"
acores,CAS2,0,true,false,0,3000,11,2x100%,not_available,2026,"2.076,67€","2.333,33€",28.000€,0.00%,34.650€,"2.887,50€",,"0,00€","256,67€","2.076,67€"
acores,CAS2,0,true,false,0,5000,11,2x100%,not_available,2026,2.868€,3.500€,42.000€,7.07%,51.975€,"4.331,25€",,"0,00€","385,00€","2.868,00€"
acores,CAS2,0,true,false,0,10000,11,2x100%,not_available,2026,"4.291,67€","5.833,33€",70.000€,15.43%,86.625€,"7.218,75€",,,,
acores,CAS2,1,false,false,0,820,11, ,not_available,2026,"7.674,33€","11.666,67€",140.000€,23.23%,173.250€,"14.437,50€",,,,
acores,CAS2,1,false,false,0,1000,11, ,not_available,2026,"729,80€",820€,11.480€,0.00%,"14.206,50€","1.183,88€",,,,
acores,CAS2,1,false,false,0,1500,11, ,not_available,2026,890€,1.000€,14.000€,0.00%,17.325€,"1.443,75€",,,,
